epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8267,2.93359,4.10447,1.74326,0,0,0,0,2.50646,4.07055,1.41553,0.00013336,0.00013336,0.00013336
2,23.6412,2.49857,3.96075,1.59462,0.00321,0.04082,0.00173,0.00112,2.25838,3.99597,1.29117,0.000277779,0.000277779,0.000277779
3,32.3772,2.2838,3.66197,1.48198,0.00684,0.09184,0.00412,0.00238,2.10996,3.88517,1.18453,0.000416257,0.000416257,0.000416257
4,41.9923,2.11528,3.43617,1.42142,0.00684,0.09184,0.00412,0.00238,2.10996,3.88517,1.18453,0.000548793,0.000548793,0.000548793
5,52.8598,2.27649,3.20536,1.34228,0.01429,0.19388,0.01003,0.00548,2.1082,3.73684,1.20633,0.000675388,0.000675388,0.000675388
6,61.241,2.14741,3.01259,1.29528,0.01852,0.2551,0.13415,0.05098,2.29588,3.35917,1.25758,0.000796043,0.000796043,0.000796043
7,70.0246,2.18682,2.61464,1.29757,0.01852,0.2551,0.13415,0.05098,2.29588,3.35917,1.25758,0.000910755,0.000910755,0.000910755
8,79.9665,2.0668,2.65591,1.28745,0.01852,0.2551,0.13415,0.05098,2.29588,3.35917,1.25758,0.00101953,0.00101953,0.00101953
9,88.6266,2.13438,2.40465,1.32882,0.79068,0.12245,0.16175,0.0698,2.17692,2.74223,1.23269,0.00112236,0.00112236,0.00112236
10,97.4454,2.08987,2.69284,1.39461,0.79068,0.12245,0.16175,0.0698,2.17692,2.74223,1.23269,0.00121925,0.00121925,0.00121925
11,109.101,2.23737,2.55517,1.28275,0.79068,0.12245,0.16175,0.0698,2.17692,2.74223,1.23269,0.0013102,0.0013102,0.0013102
12,117.64,1.98412,2.10847,1.25963,0.79068,0.12245,0.16175,0.0698,2.17692,2.74223,1.23269,0.00130393,0.00130393,0.00130393
13,127.37,1.93771,2.42667,1.26905,0.26138,0.15306,0.17873,0.07519,2.27525,2.55145,1.27877,0.00127092,0.00127092,0.00127092
14,138.515,2.05128,2.26861,1.23007,0.26138,0.15306,0.17873,0.07519,2.27525,2.55145,1.27877,0.00123791,0.00123791,0.00123791
15,147.496,2.01151,2.53875,1.36613,0.26138,0.15306,0.17873,0.07519,2.27525,2.55145,1.27877,0.00120491,0.00120491,0.00120491
16,155.435,2.03454,2.33816,1.29677,0.24799,0.20089,0.20695,0.10649,2.08132,2.41899,1.18919,0.0011719,0.0011719,0.0011719
17,165.818,1.97581,2.24177,1.32408,0.24799,0.20089,0.20695,0.10649,2.08132,2.41899,1.18919,0.00113889,0.00113889,0.00113889
18,175.582,1.91268,4.60602,1.11722,0.24799,0.20089,0.20695,0.10649,2.08132,2.41899,1.18919,0.00110589,0.00110589,0.00110589
19,184.349,1.99655,2.16443,1.19655,0.24799,0.20089,0.20695,0.10649,2.08132,2.41899,1.18919,0.00107288,0.00107288,0.00107288
20,194.644,1.95497,2.21735,1.24237,0.82789,0.23469,0.27019,0.15744,2.01271,2.09433,1.17866,0.00103987,0.00103987,0.00103987
21,205.818,1.78214,2.05524,1.19878,0.82789,0.23469,0.27019,0.15744,2.01271,2.09433,1.17866,0.00100687,0.00100687,0.00100687
22,213.565,2.15245,2.27822,1.23934,0.82789,0.23469,0.27019,0.15744,2.01271,2.09433,1.17866,0.000973861,0.000973861,0.000973861
23,223.066,1.93503,2.10197,1.28481,0.76059,0.2609,0.30612,0.16404,2.07483,1.96518,1.20127,0.000940855,0.000940855,0.000940855
24,233.972,1.93658,1.90748,1.26322,0.76059,0.2609,0.30612,0.16404,2.07483,1.96518,1.20127,0.000907848,0.000907848,0.000907848
25,242.549,2.17353,2.23923,1.2398,0.76059,0.2609,0.30612,0.16404,2.07483,1.96518,1.20127,0.000874842,0.000874842,0.000874842
26,252.992,1.99161,2.03236,1.25768,0.76059,0.2609,0.30612,0.16404,2.07483,1.96518,1.20127,0.000841835,0.000841835,0.000841835
27,263.761,1.90967,1.96291,1.19704,0.67389,0.27949,0.31847,0.15995,2.10688,1.90067,1.20043,0.000808828,0.000808828,0.000808828
28,271.39,1.8099,1.86963,1.24906,0.67389,0.27949,0.31847,0.15995,2.10688,1.90067,1.20043,0.000775822,0.000775822,0.000775822
29,280.151,1.85106,1.85449,1.19592,0.67389,0.27949,0.31847,0.15995,2.10688,1.90067,1.20043,0.000742815,0.000742815,0.000742815
30,291.709,2.00364,2.02297,1.23466,0.67389,0.27949,0.31847,0.15995,2.10688,1.90067,1.20043,0.000709809,0.000709809,0.000709809
31,299.627,1.66146,1.68574,1.13988,0.65434,0.31562,0.33509,0.17484,2.04956,1.83024,1.15313,0.000676802,0.000676802,0.000676802
32,308.419,1.83702,1.78259,1.25703,0.65434,0.31562,0.33509,0.17484,2.04956,1.83024,1.15313,0.000643795,0.000643795,0.000643795
33,319.443,1.83283,1.73495,1.16417,0.65434,0.31562,0.33509,0.17484,2.04956,1.83024,1.15313,0.000610789,0.000610789,0.000610789
34,328.632,1.87675,1.87505,1.18564,0.83502,0.33026,0.38035,0.18443,2.01774,1.76724,1.1309,0.000577782,0.000577782,0.000577782
35,339.165,1.77042,1.59392,1.17984,0.83502,0.33026,0.38035,0.18443,2.01774,1.76724,1.1309,0.000544776,0.000544776,0.000544776
36,349.607,1.82469,1.82897,1.19758,0.83502,0.33026,0.38035,0.18443,2.01774,1.76724,1.1309,0.000511769,0.000511769,0.000511769
37,358.239,1.85119,1.78668,1.25187,0.83502,0.33026,0.38035,0.18443,2.01774,1.76724,1.1309,0.000478762,0.000478762,0.000478762
